餐廳名稱,餐館電話,餐館地址
台灣恩慈股份有限公司員工餐廳,05-2623000#419,嘉義縣大林鎮大埔美園區二路31號
向禾休閒餐廳,05-36001368,嘉義縣東石鄉四股67-6號
勤誠興業股份有限公司嘉義廠員工餐廳,05-3625500#235,嘉義縣鹿草鄉園區一路2號
築間幸福鍋物嘉義忠孝,05-2219991,嘉義縣荖藤里忠孝北街189號
築間幸福鍋物嘉義大雅,05-2716669,嘉義縣大雅路二段380號
築間幸福鍋物嘉義秀泰,05-2288255,嘉義市西區文化路299號3樓
歐都納山野度假村,05-2521717,嘉義縣大埔鄉大埔村202號
南華大學雲水居餐廳,05-2721001#1883,嘉義縣大林鎮中坑里南華路一段55號
珍品餐館,05-2721001#1883,嘉義縣大林鎮中坑里南華路一段55號
寶島觀光美食,05-2698173,嘉義縣大林鎮排路里排子路2號
海中鱻海產,05-3476615,嘉義縣布袋鎮岑海里中山路262號
冷研碳索館（冷研食驗室）,05-3620606#120,嘉義縣鹿草鄉豊稠村馬稠後園區一路38號
藏壽司 嘉義耐斯店,05-2760189,嘉義市東區忠孝路600號3
永華園美食餐廳,05-2372000,嘉義縣太保市南新里中山路一段59號
寶島饗宴會館,05-2533598,嘉義縣中埔鄉義仁村樹頭埔34-12號
宜湘園國際餐飲,05-2269577,嘉義縣民雄鄉民新路101號
新農豆食堂,05-3743990,嘉義縣新港鄉福德村登雲路111巷2號
鳴心咖啡,暫不提供,嘉義縣阿里山鄉十字村十字路5號
板陶窯剪黏主題餐廳,05-7810832,嘉義縣新港鄉嘉義縣板頭村板頭厝45號之1、45之2
森居食堂,暫不提供,嘉義縣中埔鄉深坑村內灣2號
嘉義縣政府壽司,05-3625251,嘉義縣太保市安仁里祥和二路東段67號
鄒風館,05-2511863,嘉義縣阿里山鄉達邦村3鄰65號
新港客廳,05-3748472,嘉義縣新港鄉新中路305號
采荷居人文茶館,05-3661255,嘉義縣朴子市山通路24之13號
阿墨風尚料理,05-3625701,嘉義縣太保市棒球ㄧ街8號
億富生活飲食,05-3625805,嘉義縣朴子市祥和一路西段41號
北歐工坊複合式餐廳,05-3708320,嘉義縣朴子市安福里天星新村116號附1
綠野珍餐館,05-2533838,嘉義縣中埔鄉義仁村潭情路88號
雅集食堂,05-2721001#1883,嘉義縣大林鎮中坑里南華路一段55號
金順美食館,05-272100#18885,嘉義縣大林鎮中坑里10鄰南華路一段55號(文會樓1樓)
龍雲山莊,05-2562216,嘉義縣竹崎鄉中和村石棹1號
雅芳小吃店,05-2586198,嘉義縣番路鄉公田村龍頭19-5號
清木屋,05-3797768,嘉義縣朴子市平和里市東路40號
迷鹿咖啡簡餐店,04-22254668,嘉義縣鹿草鄉後堀村山仔腳65號
竹林樓,05-2301001,嘉義縣中埔鄉和美村司公廍73之6號
企鵝班早餐吧,05-3620097,嘉義縣朴子市祥和一路西段96號
大智慧養生休閒農場,05-3774916,嘉義縣水上鄉三界村152-23號
五妹的店,-,嘉義縣民雄鄉北斗村北勢子20-30
林園茶香美食田媽媽,05-2561523,嘉義縣阿里山鄉樂野村四鄰樂野123號
米澤飲食店,-,嘉義縣民雄鄉保生街189號
阿墨風尚料理,-,嘉義縣太保市棒球ㄧ街8號
